gene	gene_class	nonsyn_abnormal_n	nonsyn_abnormal_rate	nonsyn_normal_n	nonsyn_normal_rate	nonsyn_control_n	nonsyn_control_rate	nonsyn_rate_ab_minus_normal	nonsyn_rate_ab_minus_control	rare_abnormal_n	rare_abnormal_rate	rare_normal_n	rare_normal_rate	rare_control_n	rare_control_rate	rare_rate_ab_minus_normal	rare_rate_ab_minus_control
SP140	histone_read	77	1.0	416	0.9952153110047847	153	1.0	0.004784688995215336	0.0	2	0.025974025974025976	3	0.007177033492822967	0	0.0	0.01879699248120301	0.025974025974025976
BRCA2	histone_write	76	0.987012987012987	417	0.9976076555023924	153	1.0	-0.010594668489405379	-0.012987012987012991	8	0.1038961038961039	30	0.07177033492822966	16	0.10457516339869281	0.03212576896787424	-0.0006790595025889107
CHD5	chromatin_remodeling	76	0.987012987012987	416	0.9952153110047847	150	0.9803921568627451	-0.008202323991797655	0.006620830150241952	4	0.05194805194805195	24	0.05741626794258373	6	0.0392156862745098	-0.005468215994531782	0.012732365673542148
CHEK1	histone_write	76	0.987012987012987	414	0.9904306220095693	152	0.9934640522875817	-0.0034176349965823194	-0.006451065274594714	0	0.0	3	0.007177033492822967	0	0.0	-0.007177033492822967	0.0
CRB2	histone_read	76	0.987012987012987	417	0.9976076555023924	151	0.9869281045751634	-0.010594668489405379	8.488243782356353e-05	7	0.09090909090909091	24	0.05741626794258373	12	0.0784313725490196	0.03349282296650718	0.012477718360071305
DPF3	chromatin_remodeling	76	0.987012987012987	415	0.992822966507177	151	0.9869281045751634	-0.005809979494190043	8.488243782356353e-05	1	0.012987012987012988	5	0.011961722488038277	3	0.0196078431372549	0.0010252904989747104	-0.006620830150241914
LBR	other	76	0.987012987012987	411	0.9832535885167464	152	0.9934640522875817	0.003759398496240629	-0.006451065274594714	2	0.025974025974025976	9	0.0215311004784689	3	0.0196078431372549	0.004442925495557075	0.006366182836771074
SATB2	chromatin_remodeling	76	0.987012987012987	417	0.9976076555023924	151	0.9869281045751634	-0.010594668489405379	8.488243782356353e-05	0	0.0	9	0.0215311004784689	1	0.006535947712418301	-0.0215311004784689	-0.006535947712418301
SETDB2	histone_write	76	0.987012987012987	394	0.9425837320574163	148	0.9673202614379085	0.04442925495557071	0.019692725575078507	0	0.0	6	0.014354066985645933	1	0.006535947712418301	-0.014354066985645933	-0.006535947712418301
TAF4	histone_chaperone	76	0.987012987012987	408	0.9760765550239234	150	0.9803921568627451	0.010936431989063577	0.006620830150241952	0	0.0	6	0.014354066985645933	4	0.026143790849673203	-0.014354066985645933	-0.026143790849673203
TET1	dna_modification	76	0.987012987012987	405	0.9688995215311005	147	0.9607843137254902	0.018113465481886526	0.026228673287496784	1	0.012987012987012988	18	0.0430622009569378	11	0.0718954248366013	-0.030075187969924814	-0.05890841184958831
THRAP3	rna_modification	76	0.987012987012987	413	0.9880382775119617	152	0.9934640522875817	-0.001025290498974707	-0.006451065274594714	5	0.06493506493506493	25	0.05980861244019139	9	0.058823529411764705	0.0051264524948735415	0.006111535523300224
ASH1L	histone_write	75	0.974025974025974	409	0.9784688995215312	153	1.0	-0.004442925495557137	-0.025974025974025983	5	0.06493506493506493	17	0.04066985645933014	6	0.0392156862745098	0.02426520847573479	0.025719378660555126
AURKC	histone_write	75	0.974025974025974	404	0.9665071770334929	147	0.9607843137254902	0.007518796992481147	0.013241660300483793	1	0.012987012987012988	1	0.0023923444976076554	1	0.006535947712418301	0.010594668489405332	0.006451065274594687
BAHD1	chromatin_remodeling	75	0.974025974025974	403	0.9641148325358851	149	0.9738562091503268	0.00991114149008887	0.00016976487564723808	1	0.012987012987012988	10	0.023923444976076555	2	0.013071895424836602	-0.010936431989063567	-8.488243782361383e-05
HJURP	histone_chaperone	75	0.974025974025974	411	0.9832535885167464	149	0.9738562091503268	-0.009227614490772362	0.00016976487564723808	2	0.025974025974025976	20	0.04784688995215311	4	0.026143790849673203	-0.021872863978127134	-0.00016976487564722767
KDM3A	histone_erase	75	0.974025974025974	409	0.9784688995215312	148	0.9673202614379085	-0.004442925495557137	0.0067057125880655155	5	0.06493506493506493	25	0.05980861244019139	5	0.032679738562091505	0.0051264524948735415	0.032255326372973424
METTL21A	other	75	0.974025974025974	413	0.9880382775119617	151	0.9869281045751634	-0.014012303485987698	-0.012902130549189428	1	0.012987012987012988	9	0.0215311004784689	3	0.0196078431372549	-0.008544087491455913	-0.006620830150241914
PRDM16	histone_write	75	0.974025974025974	411	0.9832535885167464	151	0.9869281045751634	-0.009227614490772362	-0.012902130549189428	3	0.03896103896103896	17	0.04066985645933014	2	0.013071895424836602	-0.0017088174982911805	0.025889143536202357
SFSWAP	rna_modification	75	0.974025974025974	409	0.9784688995215312	151	0.9869281045751634	-0.004442925495557137	-0.012902130549189428	1	0.012987012987012988	15	0.03588516746411483	5	0.032679738562091505	-0.022898154477101845	-0.019692725575078517
TLE4	histone_erase	75	0.974025974025974	413	0.9880382775119617	152	0.9934640522875817	-0.014012303485987698	-0.019438078261607705	1	0.012987012987012988	2	0.004784688995215311	0	0.0	0.008202323991797676	0.012987012987012988
ZGPAT	tf	75	0.974025974025974	407	0.9736842105263158	152	0.9934640522875817	0.00034176349965819863	-0.019438078261607705	1	0.012987012987012988	2	0.004784688995215311	3	0.0196078431372549	0.008202323991797676	-0.006620830150241914
AURKA	histone_write	74	0.961038961038961	398	0.9521531100478469	146	0.954248366013072	0.008885850991114164	0.006790595025889079	2	0.025974025974025976	3	0.007177033492822967	0	0.0	0.01879699248120301	0.025974025974025976
FBRSL1	histone_other	74	0.961038961038961	409	0.9784688995215312	152	0.9934640522875817	-0.01742993848257013	-0.0324250912486207	12	0.15584415584415584	82	0.19617224880382775	32	0.20915032679738563	-0.04032809295967191	-0.05330617095322979
MBIP	histone_write	74	0.961038961038961	410	0.9808612440191388	148	0.9673202614379085	-0.01982228298017774	-0.006281300398947476	0	0.0	1	0.0023923444976076554	0	0.0	-0.0023923444976076554	0.0
NEK9	histone_write	74	0.961038961038961	397	0.9497607655502392	140	0.9150326797385621	0.011278195488721776	0.046006281300398966	6	0.07792207792207792	43	0.10287081339712918	19	0.12418300653594772	-0.024948735475051262	-0.046260928613869795
PKN1	histone_write	74	0.961038961038961	404	0.9665071770334929	149	0.9738562091503268	-0.005468215994531844	-0.012817248111365753	4	0.05194805194805195	16	0.03827751196172249	8	0.05228758169934641	0.013670539986329465	-0.00033952975129445534
PRDM7	histone_write	74	0.961038961038961	412	0.9856459330143541	147	0.9607843137254902	-0.024606971975393077	0.0002546473134708016	3	0.03896103896103896	29	0.06937799043062201	9	0.058823529411764705	-0.03041695146958305	-0.019862490450725745
RAI1	chromatin_remodeling	74	0.961038961038961	409	0.9784688995215312	146	0.954248366013072	-0.01742993848257013	0.006790595025889079	3	0.03896103896103896	27	0.0645933014354067	6	0.0392156862745098	-0.025632262474367742	-0.00025464731347084324
CENPC	dna_modification	73	0.948051948051948	393	0.9401913875598086	143	0.934640522875817	0.007860560492139457	0.013411425176131031	0	0.0	2	0.004784688995215311	1	0.006535947712418301	-0.004784688995215311	-0.006535947712418301
FOXA1	chromatin_remodeling	73	0.948051948051948	404	0.9665071770334929	146	0.954248366013072	-0.018455228981544836	-0.006196417961123912	1	0.012987012987012988	6	0.014354066985645933	0	0.0	-0.0013670539986329455	0.012987012987012988
MGA	histone_write	73	0.948051948051948	389	0.930622009569378	143	0.934640522875817	0.017429938482570018	0.013411425176131031	8	0.1038961038961039	46	0.11004784688995216	21	0.13725490196078433	-0.006151742993848255	-0.03335879806468042
TONSL	chromatin_remodeling	73	0.948051948051948	389	0.930622009569378	147	0.9607843137254902	0.017429938482570018	-0.01273236567354219	4	0.05194805194805195	21	0.050239234449760764	10	0.06535947712418301	0.0017088174982911875	-0.013411425176131059
ATF7IP	histone_write	72	0.935064935064935	406	0.9712918660287081	151	0.9869281045751634	-0.03622693096377305	-0.0518631695102284	0	0.0	2	0.004784688995215311	2	0.013071895424836602	-0.004784688995215311	-0.013071895424836602
EXOSC7	rna_modification	72	0.935064935064935	407	0.9736842105263158	149	0.9738562091503268	-0.038619275461380775	-0.038791274085391736	0	0.0	1	0.0023923444976076554	1	0.006535947712418301	-0.0023923444976076554	-0.006535947712418301
HINFP	histone_read	72	0.935064935064935	395	0.9449760765550239	146	0.954248366013072	-0.00991114149008887	-0.019183430948136904	3	0.03896103896103896	0	0.0	0	0.0	0.03896103896103896	0.03896103896103896
SMYD4	histone_erase	72	0.935064935064935	395	0.9449760765550239	146	0.954248366013072	-0.00991114149008887	-0.019183430948136904	2	0.025974025974025976	11	0.02631578947368421	3	0.0196078431372549	-0.00034176349965823333	0.006366182836771074
APOBEC3F	dna_modification	71	0.922077922077922	372	0.8899521531100478	129	0.8431372549019608	0.032125768967874224	0.07894066717596127	1	0.012987012987012988	6	0.014354066985645933	0	0.0	-0.0013670539986329455	0.012987012987012988
BRWD1	histone_read	71	0.922077922077922	365	0.8732057416267942	137	0.8954248366013072	0.048872180451127845	0.026653085476614824	4	0.05194805194805195	21	0.050239234449760764	7	0.0457516339869281	0.0017088174982911875	0.00619641796112385
HDAC5	histone_erase	71	0.922077922077922	393	0.9401913875598086	150	0.9803921568627451	-0.018113465481886526	-0.058314234784823005	2	0.025974025974025976	6	0.014354066985645933	0	0.0	0.011619958988380042	0.025974025974025976
L3MBTL3	histone_read	71	0.922077922077922	391	0.9354066985645934	144	0.9411764705882353	-0.013328776486671301	-0.01909854851031323	1	0.012987012987012988	5	0.011961722488038277	4	0.026143790849673203	0.0010252904989747104	-0.013156777862660216
NOC2L	chromatin_remodeling	71	0.922077922077922	402	0.9617224880382775	150	0.9803921568627451	-0.03964456596035548	-0.058314234784823005	3	0.03896103896103896	13	0.03110047846889952	2	0.013071895424836602	0.00786056049213944	0.025889143536202357
NPAS2	chromatin_remodeling	71	0.922077922077922	388	0.9282296650717703	141	0.9215686274509803	-0.0061517429938482415	0.0005092946269417142	0	0.0	10	0.023923444976076555	0	0.0	-0.023923444976076555	0.0
SMARCAD1	chromatin_remodeling	71	0.922077922077922	368	0.8803827751196173	132	0.8627450980392157	0.041695146958304785	0.05933282403870632	0	0.0	2	0.004784688995215311	1	0.006535947712418301	-0.004784688995215311	-0.006535947712418301
BRD8	histone_read	70	0.9090909090909091	412	0.9856459330143541	148	0.9673202614379085	-0.07655502392344504	-0.05822935234699944	1	0.012987012987012988	23	0.05502392344497608	4	0.026143790849673203	-0.042036910457963095	-0.013156777862660216
SIRT6	histone_erase	70	0.9090909090909091	372	0.8899521531100478	141	0.9215686274509803	0.019138755980861233	-0.012477718360071277	3	0.03896103896103896	5	0.011961722488038277	4	0.026143790849673203	0.026999316473000683	0.012817248111365757
BRWD3	histone_read	69	0.8961038961038961	356	0.8516746411483254	129	0.8431372549019608	0.04442925495557071	0.05296664120193528	0	0.0	1	0.0023923444976076554	0	0.0	-0.0023923444976076554	0.0
DNMT3L	histone_read	69	0.8961038961038961	378	0.9043062200956937	145	0.9477124183006536	-0.008202323991797655	-0.05160852219675749	1	0.012987012987012988	2	0.004784688995215311	0	0.0	0.008202323991797676	0.012987012987012988
DPF1	chromatin_remodeling	69	0.8961038961038961	398	0.9521531100478469	141	0.9215686274509803	-0.05604921394395079	-0.02546473134708427	1	0.012987012987012988	7	0.01674641148325359	0	0.0	-0.0037593984962406013	0.012987012987012988
USP36	histone_write	69	0.8961038961038961	337	0.80622009569378	131	0.8562091503267973	0.08988380041011612	0.03989474577709873	25	0.3246753246753247	112	0.2679425837320574	47	0.30718954248366015	0.056732740943267246	0.017485782191664523
KANSL2	histone_write	68	0.8831168831168831	366	0.8755980861244019	137	0.8954248366013072	0.007518796992481147	-0.01230795348442415	0	0.0	1	0.0023923444976076554	0	0.0	-0.0023923444976076554	0.0
RBM11	rna_modification	68	0.8831168831168831	377	0.9019138755980861	139	0.9084967320261438	-0.018796992481203034	-0.025379848909260705	0	0.0	3	0.007177033492822967	0	0.0	-0.007177033492822967	0.0
YEATS2	histone_chaperone	68	0.8831168831168831	360	0.861244019138756	126	0.8235294117647058	0.021872863978127044	0.059587471352177235	1	0.012987012987012988	10	0.023923444976076555	8	0.05228758169934641	-0.010936431989063567	-0.03930056871233342
KDM4A	histone_erase	67	0.8701298701298701	376	0.8995215311004785	138	0.9019607843137255	-0.029391660970608413	-0.03183091418385542	4	0.05194805194805195	7	0.01674641148325359	1	0.006535947712418301	0.03520164046479836	0.04541210423563365
KDM4D	histone_erase	67	0.8701298701298701	340	0.8133971291866029	124	0.8104575163398693	0.05673274094326719	0.0596723537900008	0	0.0	5	0.011961722488038277	1	0.006535947712418301	-0.011961722488038277	-0.006535947712418301
SAP18	histone_erase	66	0.8571428571428571	376	0.8995215311004785	144	0.9411764705882353	-0.042378673957621404	-0.08403361344537819	0	0.0	0	0.0	0	0.0	0.0	0.0
TAF3	histone_read	66	0.8571428571428571	350	0.8373205741626795	134	0.8758169934640523	0.01982228298017763	-0.01867413632119519	4	0.05194805194805195	21	0.050239234449760764	11	0.0718954248366013	0.0017088174982911875	-0.01994737288854935
JDP2	chromatin_remodeling	65	0.8441558441558441	358	0.8564593301435407	139	0.9084967320261438	-0.012303485987696594	-0.06434088787029968	0	0.0	0	0.0	0	0.0	0.0	0.0
JMJD1C	histone_erase	65	0.8441558441558441	341	0.8157894736842105	126	0.8235294117647058	0.028366370471633595	0.02062643239113826	6	0.07792207792207792	57	0.13636363636363635	22	0.1437908496732026	-0.05844155844155843	-0.06586877175112468
AURKB	histone_write	64	0.8311688311688312	298	0.7129186602870813	113	0.738562091503268	0.11825017088174994	0.09260673966556321	1	0.012987012987012988	4	0.009569377990430622	1	0.006535947712418301	0.0034176349965823662	0.006451065274594687
ING5	histone_read	64	0.8311688311688312	333	0.7966507177033493	121	0.7908496732026143	0.03451811346548195	0.04031915796621688	0	0.0	3	0.007177033492822967	2	0.013071895424836602	-0.007177033492822967	-0.013071895424836602
RAG1	histone_write	64	0.8311688311688312	361	0.8636363636363636	131	0.8562091503267973	-0.03246753246753242	-0.025040319157966118	1	0.012987012987012988	5	0.011961722488038277	4	0.026143790849673203	0.0010252904989747104	-0.013156777862660216
TRRAP	histone_write	64	0.8311688311688312	382	0.9138755980861244	139	0.9084967320261438	-0.08270676691729317	-0.07732790085731256	1	0.012987012987012988	23	0.05502392344497608	7	0.0457516339869281	-0.042036910457963095	-0.03276462099991512
USP44	histone_erase	64	0.8311688311688312	340	0.8133971291866029	126	0.8235294117647058	0.017771701982228327	0.0076394194041253805	3	0.03896103896103896	30	0.07177033492822966	12	0.0784313725490196	-0.032809295967190705	-0.03947033358798065
APOBEC1	dna_modification	63	0.8181818181818182	323	0.7727272727272727	117	0.7647058823529411	0.045454545454545525	0.05347593582887711	1	0.012987012987012988	0	0.0	1	0.006535947712418301	0.012987012987012988	0.006451065274594687
MEN1	histone_write	63	0.8181818181818182	356	0.8516746411483254	140	0.9150326797385621	-0.03349282296650713	-0.09685086155674383	1	0.012987012987012988	8	0.019138755980861243	2	0.013071895424836602	-0.006151742993848255	-8.488243782361383e-05
SETD2	histone_write	63	0.8181818181818182	338	0.8086124401913876	132	0.8627450980392157	0.009569377990430672	-0.0445632798573975	3	0.03896103896103896	22	0.05263157894736842	4	0.026143790849673203	-0.013670539986329458	0.012817248111365757
DNTTIP2	chromatin_remodeling	62	0.8051948051948052	327	0.7822966507177034	129	0.8431372549019608	0.022898154477101862	-0.037942449707155546	0	0.0	2	0.004784688995215311	0	0.0	-0.004784688995215311	0.0
KDM4C	histone_erase	62	0.8051948051948052	351	0.8397129186602871	127	0.8300653594771242	-0.03451811346548184	-0.02487055428231899	2	0.025974025974025976	21	0.050239234449760764	9	0.058823529411764705	-0.02426520847573479	-0.03284950343773873
PHF14	histone_read	62	0.8051948051948052	359	0.8588516746411483	129	0.8431372549019608	-0.05365686944634307	-0.037942449707155546	0	0.0	2	0.004784688995215311	2	0.013071895424836602	-0.004784688995215311	-0.013071895424836602
RMI1	dna_modification	62	0.8051948051948052	357	0.854066985645933	130	0.8496732026143791	-0.048872180451127734	-0.04447839741957382	0	0.0	1	0.0023923444976076554	4	0.026143790849673203	-0.0023923444976076554	-0.026143790849673203
DTX3L	histone_write	61	0.7922077922077922	350	0.8373205741626795	135	0.8823529411764706	-0.045112781954887216	-0.09014514896867831	3	0.03896103896103896	9	0.0215311004784689	3	0.0196078431372549	0.01742993848257006	0.01935319582378406
MTF2	polycomb	61	0.7922077922077922	314	0.7511961722488039	116	0.7581699346405228	0.04101161995898839	0.0340378575672694	0	0.0	1	0.0023923444976076554	1	0.006535947712418301	-0.0023923444976076554	-0.006535947712418301
PPARGC1A	histone_other	61	0.7922077922077922	335	0.8014354066985646	121	0.7908496732026143	-0.009227614490772362	0.0013581190051779046	3	0.03896103896103896	4	0.009569377990430622	3	0.0196078431372549	0.029391660970608337	0.01935319582378406
ATXN7	histone_write	60	0.7792207792207793	305	0.7296650717703349	115	0.7516339869281046	0.04955570745044435	0.02758679229267469	3	0.03896103896103896	24	0.05741626794258373	8	0.05228758169934641	-0.018455228981544773	-0.013326542738307447
APOBEC3B	dna_modification	59	0.7662337662337663	311	0.7440191387559809	114	0.7450980392156863	0.022214627477785354	0.021135727018079975	0	0.0	1	0.0023923444976076554	0	0.0	-0.0023923444976076554	0.0
CECR2	histone_read	59	0.7662337662337663	277	0.6626794258373205	112	0.7320261437908496	0.10355434039644573	0.03420762244291664	2	0.025974025974025976	27	0.0645933014354067	17	0.1111111111111111	-0.03861927546138073	-0.08513708513708512
EEF1AKNMT	other	59	0.7662337662337663	346	0.8277511961722488	124	0.8104575163398693	-0.061517429938482526	-0.04422375010610302	2	0.025974025974025976	8	0.019138755980861243	2	0.013071895424836602	0.0068352699931647325	0.012902130549189374
HDAC9	histone_erase	58	0.7532467532467533	321	0.7679425837320574	113	0.738562091503268	-0.014695830485304096	0.014684661743485261	0	0.0	7	0.01674641148325359	3	0.0196078431372549	-0.01674641148325359	-0.0196078431372549
KLF18	tf	58	0.7532467532467533	319	0.7631578947368421	117	0.7647058823529411	-0.00991114149008887	-0.011459129106187849	19	0.24675324675324675	81	0.1937799043062201	41	0.2679738562091503	0.052973342447026645	-0.021220609455903566
HCFC1	chromatin_remodeling	57	0.7402597402597403	324	0.7751196172248804	116	0.7581699346405228	-0.034859876965140146	-0.017910194380782563	0	0.0	7	0.01674641148325359	4	0.026143790849673203	-0.01674641148325359	-0.026143790849673203
L3MBTL4	histone_read	57	0.7402597402597403	320	0.7655502392344498	119	0.7777777777777778	-0.025290498974709474	-0.037518037518037506	1	0.012987012987012988	12	0.028708133971291867	8	0.05228758169934641	-0.01572112098427888	-0.03930056871233342
MBD4	dna_modification	57	0.7402597402597403	295	0.7057416267942583	107	0.6993464052287581	0.03451811346548195	0.040913335030982156	1	0.012987012987012988	10	0.023923444976076555	0	0.0	-0.010936431989063567	0.012987012987012988
NAA60	histone_write	57	0.7402597402597403	348	0.8325358851674641	124	0.8104575163398693	-0.09227614490772384	-0.070197776080129	2	0.025974025974025976	24	0.05741626794258373	2	0.013071895424836602	-0.03144224196855776	0.012902130549189374
NSL1	histone_write	57	0.7402597402597403	300	0.7177033492822966	110	0.7189542483660131	0.022556390977443663	0.021305491893727213	0	0.0	1	0.0023923444976076554	2	0.013071895424836602	-0.0023923444976076554	-0.013071895424836602
SMYD2	histone_write	57	0.7402597402597403	335	0.8014354066985646	132	0.8627450980392157	-0.06117566643882433	-0.12248535777947545	2	0.025974025974025976	2	0.004784688995215311	0	0.0	0.021189336978810664	0.025974025974025976
TDRD7	histone_read	57	0.7402597402597403	319	0.7631578947368421	109	0.7124183006535948	-0.022898154477101862	0.02784143960614549	2	0.025974025974025976	10	0.023923444976076555	6	0.0392156862745098	0.0020505809979494208	-0.013241660300483828
NSD1	histone_write	56	0.7272727272727273	305	0.7296650717703349	117	0.7647058823529411	-0.0023923444976076125	-0.03743315508021383	4	0.05194805194805195	15	0.03588516746411483	8	0.05228758169934641	0.01606288448393712	-0.00033952975129445534
PHF21A	histone_erase	56	0.7272727272727273	301	0.7200956937799043	112	0.7320261437908496	0.0071770334928229484	-0.004753416518122333	1	0.012987012987012988	3	0.007177033492822967	2	0.013071895424836602	0.005809979494190021	-8.488243782361383e-05
TP53	histone_write	55	0.7142857142857143	304	0.7272727272727273	112	0.7320261437908496	-0.012987012987012991	-0.017740429505135324	0	0.0	4	0.009569377990430622	1	0.006535947712418301	-0.009569377990430622	-0.006535947712418301
EID2	histone_write	54	0.7012987012987013	273	0.65311004784689	104	0.6797385620915033	0.048188653451811336	0.021560139207198015	0	0.0	0	0.0	0	0.0	0.0	0.0
ZNF592	histone_erase	54	0.7012987012987013	273	0.65311004784689	113	0.738562091503268	0.048188653451811336	-0.037263390204566704	3	0.03896103896103896	15	0.03588516746411483	2	0.013071895424836602	0.0030758714969241277	0.025889143536202357
VDR	chromatin_remodeling	53	0.6883116883116883	306	0.7320574162679426	110	0.7189542483660131	-0.04374572795625431	-0.030642560054324752	1	0.012987012987012988	5	0.011961722488038277	1	0.006535947712418301	0.0010252904989747104	0.006451065274594687
KDM5A	histone_erase	52	0.6753246753246753	308	0.7368421052631579	108	0.7058823529411765	-0.061517429938482526	-0.03055767761650119	5	0.06493506493506493	35	0.08373205741626795	8	0.05228758169934641	-0.01879699248120302	0.012647483235718522
PARP1	chromatin_remodeling	52	0.6753246753246753	269	0.6435406698564593	102	0.6666666666666666	0.031784005468216026	0.008658008658008698	9	0.11688311688311688	32	0.07655502392344497	11	0.0718954248366013	0.04032809295967191	0.04498769204651558
SP100	chromatin_remodeling	52	0.6753246753246753	283	0.6770334928229665	102	0.6666666666666666	-0.0017088174982912152	0.008658008658008698	1	0.012987012987012988	15	0.03588516746411483	2	0.013071895424836602	-0.022898154477101845	-8.488243782361383e-05
MYO1C	chromatin_remodeling	51	0.6623376623376623	293	0.7009569377990431	121	0.7908496732026143	-0.038619275461380775	-0.128512010864952	5	0.06493506493506493	21	0.050239234449760764	9	0.058823529411764705	0.014695830485304165	0.006111535523300224
TAF5	histone_write	51	0.6623376623376623	255	0.6100478468899522	98	0.6405228758169934	0.052289815447710164	0.021814786520668927	0	0.0	5	0.011961722488038277	1	0.006535947712418301	-0.011961722488038277	-0.006535947712418301
TP53BP1	histone_read	51	0.6623376623376623	267	0.638755980861244	105	0.6862745098039216	0.02358168147641837	-0.023936847466259237	10	0.12987012987012986	33	0.07894736842105263	6	0.0392156862745098	0.05092276144907723	0.09065444359562005
BRCA1	histone_write	50	0.6493506493506493	276	0.6602870813397129	95	0.6209150326797386	-0.010936431989063577	0.02843561667091077	2	0.025974025974025976	14	0.03349282296650718	3	0.0196078431372549	-0.007518796992481203	0.006366182836771074
TRIM33	histone_read	50	0.6493506493506493	282	0.6746411483253588	110	0.7189542483660131	-0.025290498974709474	-0.06960359901536373	1	0.012987012987012988	2	0.004784688995215311	3	0.0196078431372549	0.008202323991797676	-0.006620830150241914
MYBBP1A	chromatin_remodeling	49	0.6363636363636364	289	0.6913875598086124	106	0.6928104575163399	-0.055023923444976086	-0.0564468211527035	18	0.23376623376623376	67	0.16028708133971292	29	0.1895424836601307	0.07347915242652084	0.04422375010610305
NBN	chromatin_remodeling	49	0.6363636363636364	272	0.6507177033492823	114	0.7450980392156863	-0.014354066985645897	-0.10873440285204994	7	0.09090909090909091	16	0.03827751196172249	11	0.0718954248366013	0.052631578947368425	0.01901366607248961
ATR	histone_write	48	0.6233766233766234	262	0.6267942583732058	91	0.5947712418300654	-0.0034176349965824304	0.028605381546558006	2	0.025974025974025976	12	0.028708133971291867	1	0.006535947712418301	-0.002734107997265891	0.019438078261607674
CDK7	histone_write	48	0.6233766233766234	253	0.6052631578947368	106	0.6928104575163399	0.018113465481886526	-0.06943383413971649	0	0.0	0	0.0	0	0.0	0.0	0.0
EXOSC5	rna_modification	48	0.6233766233766234	267	0.638755980861244	102	0.6666666666666666	-0.015379357484620604	-0.04329004329004327	1	0.012987012987012988	3	0.007177033492822967	1	0.006535947712418301	0.005809979494190021	0.006451065274594687
TRIM16	histone_write	48	0.6233766233766234	249	0.5956937799043063	100	0.6535947712418301	0.027682843472317087	-0.030218147865206713	15	0.19480519480519481	71	0.16985645933014354	34	0.2222222222222222	0.024948735475051276	-0.027417027417027395
CHUK	histone_write	47	0.6103896103896104	271	0.6483253588516746	110	0.7189542483660131	-0.03793574846206427	-0.1085646379764027	7	0.09090909090909091	50	0.11961722488038277	19	0.12418300653594772	-0.028708133971291863	-0.033273915626856804
DNMT1	dna_modification	47	0.6103896103896104	244	0.583732057416268	99	0.6470588235294118	0.02665755297334238	-0.036669213139801426	9	0.11688311688311688	42	0.10047846889952153	11	0.0718954248366013	0.016404647983595352	0.04498769204651558
KMT2B	histone_write	47	0.6103896103896104	284	0.6794258373205742	110	0.7189542483660131	-0.06903622693096378	-0.1085646379764027	8	0.1038961038961039	34	0.08133971291866028	13	0.08496732026143791	0.02255639097744362	0.01892878363466599
ACTR5	chromatin_remodeling	45	0.5844155844155844	260	0.6220095693779905	93	0.6078431372549019	-0.03759398496240607	-0.023427552839317523	2	0.025974025974025976	23	0.05502392344497608	7	0.0457516339869281	-0.029049897470950103	-0.019777608012902126
