gene	gene_class	nonsyn_abnormal_n	nonsyn_abnormal_rate	nonsyn_normal_n	nonsyn_normal_rate	nonsyn_control_n	nonsyn_control_rate	nonsyn_rate_ab_minus_normal	nonsyn_rate_ab_minus_control	rare_abnormal_n	rare_abnormal_rate	rare_normal_n	rare_normal_rate	rare_control_n	rare_control_rate	rare_rate_ab_minus_normal	rare_rate_ab_minus_control
NSD1	histone_write	35	0.7446808510638298	326	0.7276785714285714	117	0.7647058823529411	0.017002279635258355	-0.020025031289111372	3	0.06382978723404255	16	0.03571428571428571	8	0.05228758169934641	0.028115501519756836	0.011542205534696141
RMI1	dna_modification	35	0.7446808510638298	384	0.8571428571428571	130	0.8496732026143791	-0.11246200607902734	-0.10499235155054931	0	0.0	1	0.002232142857142857	4	0.026143790849673203	-0.002232142857142857	-0.026143790849673203
TP53	histone_write	35	0.7446808510638298	324	0.7232142857142857	112	0.7320261437908496	0.021466565349544053	0.012654707272980126	0	0.0	4	0.008928571428571428	1	0.006535947712418301	-0.008928571428571428	-0.006535947712418301
TP53BP1	histone_read	35	0.7446808510638298	283	0.6316964285714286	105	0.6862745098039216	0.11298442249240115	0.05840634125990818	7	0.14893617021276595	36	0.08035714285714286	6	0.0392156862745098	0.06857902735562309	0.10972048393825615
DNMT1	dna_modification	34	0.723404255319149	257	0.5736607142857143	99	0.6470588235294118	0.14974354103343468	0.07634543178973718	8	0.1702127659574468	43	0.09598214285714286	11	0.0718954248366013	0.07423062310030394	0.0983173411208455
L3MBTL4	histone_read	34	0.723404255319149	343	0.765625	119	0.7777777777777778	-0.04222074468085102	-0.05437352245862881	0	0.0	13	0.029017857142857144	8	0.05228758169934641	-0.029017857142857144	-0.05228758169934641
NSL1	histone_write	33	0.7021276595744681	324	0.7232142857142857	110	0.7189542483660131	-0.0210866261398176	-0.016826588791544972	0	0.0	1	0.002232142857142857	2	0.013071895424836602	-0.002232142857142857	-0.013071895424836602
PARP1	chromatin_remodeling	33	0.7021276595744681	288	0.6428571428571429	102	0.6666666666666666	0.059270516717325195	0.03546099290780147	6	0.1276595744680851	35	0.078125	11	0.0718954248366013	0.049534574468085096	0.055764149631483795
PHF21A	histone_erase	33	0.7021276595744681	324	0.7232142857142857	112	0.7320261437908496	-0.0210866261398176	-0.029898484216381527	1	0.02127659574468085	3	0.006696428571428571	2	0.013071895424836602	0.014580167173252279	0.008204700319844249
BRCA1	histone_write	32	0.6808510638297872	294	0.65625	95	0.6209150326797386	0.024601063829787218	0.05993603115004864	1	0.02127659574468085	15	0.033482142857142856	3	0.0196078431372549	-0.012205547112462006	0.0016687526074259489
EXOSC5	rna_modification	32	0.6808510638297872	283	0.6316964285714286	102	0.6666666666666666	0.049154635258358614	0.014184397163120588	1	0.02127659574468085	3	0.006696428571428571	1	0.006535947712418301	0.014580167173252279	0.014740648032262549
SP100	chromatin_remodeling	32	0.6808510638297872	303	0.6763392857142857	102	0.6666666666666666	0.004511778115501519	0.014184397163120588	0	0.0	16	0.03571428571428571	2	0.013071895424836602	-0.03571428571428571	-0.013071895424836602
VDR	chromatin_remodeling	32	0.6808510638297872	327	0.7299107142857143	110	0.7189542483660131	-0.049059650455927084	-0.038103184536225854	0	0.0	6	0.013392857142857142	1	0.006535947712418301	-0.013392857142857142	-0.006535947712418301
ZNF592	histone_erase	32	0.6808510638297872	295	0.6584821428571429	113	0.738562091503268	0.022368920972644313	-0.0577110276734808	2	0.0425531914893617	16	0.03571428571428571	2	0.013071895424836602	0.006838905775075989	0.029481296064525098
ACTR5	chromatin_remodeling	31	0.6595744680851063	274	0.6116071428571429	93	0.6078431372549019	0.04796732522796343	0.051731330830204425	1	0.02127659574468085	24	0.05357142857142857	7	0.0457516339869281	-0.03229483282674772	-0.02447503824224725
KDM5A	histone_erase	31	0.6595744680851063	329	0.734375	108	0.7058823529411765	-0.07480053191489366	-0.04630788485607018	5	0.10638297872340426	35	0.078125	8	0.05228758169934641	0.028257978723404256	0.05409539702405785
MYBBP1A	chromatin_remodeling	31	0.6595744680851063	307	0.6852678571428571	106	0.6928104575163399	-0.02569338905775076	-0.033235989431233515	11	0.23404255319148937	74	0.16517857142857142	29	0.1895424836601307	0.06886398176291794	0.044500069531358655
PIWIL4	chromatin_remodeling	31	0.6595744680851063	207	0.46205357142857145	67	0.43790849673202614	0.19752089665653488	0.2216659713530802	3	0.06382978723404255	11	0.024553571428571428	4	0.026143790849673203	0.039276215805471124	0.03768599638436934
