gene	gene_class	abnormal_n	abnormal_rate	normal_n	normal_rate	control_n	control_rate	delta_rate_ab_ctrl	p_abnormal_vs_control
SUPT6H	histone_erase	4	0.05194805194805195	10	0.023923444976076555	5	0.032679738562091505	0.019268313385960446	0.3514750683212608
TADA2A	histone_read	4	0.05194805194805195	16	0.03827751196172249	5	0.032679738562091505	0.019268313385960446	0.3514750683212608
EYA1	histone_erase	12	0.15584415584415584	57	0.13636363636363635	20	0.13071895424836602	0.02512520159578982	0.37004963281695424
UIMC1	histone_read	9	0.11688311688311688	34	0.08133971291866028	15	0.09803921568627451	0.018843901196842372	0.408518565277614
TRIM33	histone_read	2	0.025974025974025976	4	0.009569377990430622	2	0.013071895424836602	0.012902130549189374	0.4099980846581115
HDAC4	histone_erase	44	0.5714285714285714	230	0.5502392344497608	84	0.5490196078431373	0.022408963585434094	0.42842217155379564
BRD1	histone_read	3	0.03896103896103896	14	0.03349282296650718	4	0.026143790849673203	0.012817248111365757	0.4327323030036968
SUPT3H	histone_write	5	0.06493506493506493	24	0.05741626794258373	8	0.05228758169934641	0.012647483235718522	0.4525555578507068
TAF4	histone_chaperone	7	0.09090909090909091	37	0.08851674641148326	12	0.0784313725490196	0.012477718360071305	0.46250402206445734
GSE1	histone_erase	40	0.5194805194805194	194	0.46411483253588515	77	0.5032679738562091	0.016212545624310293	0.4633351281991337
HIRA	histone_read	7	0.09090909090909091	33	0.07894736842105263	13	0.08496732026143791	0.005941770647653	0.5293519832296504
ERBB4	histone_other	5	0.06493506493506493	26	0.06220095693779904	9	0.058823529411764705	0.006111535523300224	0.5316998267712083
RBM25	rna_modification	4	0.05194805194805195	22	0.05263157894736842	7	0.0457516339869281	0.00619641796112385	0.533806046114887
SETD1B	histone_write	34	0.44155844155844154	160	0.3827751196172249	67	0.43790849673202614	0.0036499448264153966	0.5343445971315657
BANP	histone_write	1	0.012987012987012988	4	0.009569377990430622	1	0.006535947712418301	0.006451065274594687	0.5584583254224416
ELP4	histone_write	1	0.012987012987012988	0	0.0	1	0.006535947712418301	0.006451065274594687	0.5584583254224416
KMT2C	histone_write	1	0.012987012987012988	5	0.011961722488038277	1	0.006535947712418301	0.006451065274594687	0.5584583254224416
MAPKAPK3	chromatin_remodeling	1	0.012987012987012988	1	0.0023923444976076554	1	0.006535947712418301	0.006451065274594687	0.5584583254224416
APOBEC3D	dna_modification	15	0.19480519480519481	74	0.17703349282296652	30	0.19607843137254902	-0.0012732365673542023	0.5742769631549594
CECR2	histone_read	33	0.42857142857142855	156	0.37320574162679426	67	0.43790849673202614	-0.009337068160597595	0.6078391752350782
L3MBTL4	histone_read	40	0.5194805194805194	194	0.46411483253588515	81	0.5294117647058824	-0.009931245225362928	0.6113593462159976
PCGF3	polycomb	40	0.5194805194805194	202	0.48325358851674644	81	0.5294117647058824	-0.009931245225362928	0.6113593462159976
UBE2D3	histone_write	11	0.14285714285714285	75	0.17942583732057416	23	0.1503267973856209	-0.007469654528478059	0.6304531642561758
PRKCB	histone_write	25	0.3246753246753247	155	0.3708133971291866	52	0.33986928104575165	-0.015193956370426975	0.6456300046058238
NCOA1	histone_write	20	0.2597402597402597	125	0.29904306220095694	42	0.27450980392156865	-0.014769544181308936	0.6511715284573513
GFI1B	histone_other	2	0.025974025974025976	2	0.004784688995215311	4	0.026143790849673203	-0.00016976487564722767	0.6546143030141035
SP140	histone_read	2	0.025974025974025976	15	0.03588516746411483	4	0.026143790849673203	-0.00016976487564722767	0.6546143030141035
PRDM5	histone_write	10	0.12987012987012986	51	0.12200956937799043	22	0.1437908496732026	-0.013920719803072745	0.6830758537722487
APOBEC3H	dna_modification	4	0.05194805194805195	20	0.04784688995215311	9	0.058823529411764705	-0.006875477463712754	0.6878200284774033
